epoch	Video	STEP	gap
0.341064021	1644800	5140	0.783
0.407418889	1964800	6140	0.786
0.541455722	2611200	8160	0.797
0.60781059	2931200	9160	0.799
0.741183875	3574400	11170	0.806
0.807538742	3894400	12170	0.808
0.940248478	4534400	14170	0.826
1.076275957	5190400	16220	0.827
1.142630825	5510400	17220	0.825
1.275340561	6150400	19220	0.829
1.341695429	6470400	20220	0.831
1.474405165	7110400	22220	0.837
1.540760033	7430400	23220	0.832
1.674133317	8073600	25230	0.841
1.741151734	8396800	26240	0.842
1.875188567	9043200	28260	0.842
1.942870532	9369600	29280	0.844
2.076907365	10016000	31300	0.846
2.209617101	10656000	33300	0.846
2.275971969	10976000	34300	0.846
2.342326837	11296000	35300	0.846
2.503701876	12074240	37732	0.851
2.676755371	12908800	40340	0.852
2.877147072	13875200	43360	0.852
3.009856808	14515200	45360	0.853
3.277930475	15808000	49400	0.852
3.411303759	16451200	51410	0.855
3.545340592	17097600	53430	0.856
3.745732293	18064000	56450	0.856
3.946123994	19030400	59470	0.856
4.080160828	19676800	61490	0.856
4.280552529	20643200	64510	0.858
4.546635549	21926400	68520	0.859
4.747690799	22896000	71550	0.857
4.9480825	23862400	74570	0.858
5.281847485	25472000	79600	0.859
5.482902735	26441600	82630	0.860
5.618266666	27094400	84670	0.859
5.819985464	28067200	87710	0.861
5.953358749	28710400	89720	0.860
6.020377165	29033600	90730	0.860
6.086732033	29353600	91730	0.861
6.219441769	29993600	93730	0.860
6.285796637	30313600	94730	0.860
6.41983347	30960000	96750	0.860
6.494748116	31321280	97879	0.860
6.62088872	31929600	99780	0.860
6.687907136	32252800	100790	0.861
6.820616872	32892800	102790	0.861
6.887635289	33216000	103800	0.860
6.994134852	33729600	105405	0.861
7.08802699	34182400	106820	0.861
7.155045406	34505600	107830	0.861
7.287755142	35145600	109830	0.860
7.35411001	35465600	110830	0.860
7.42975456	35830400	111970	0.860
7.497436525	36156800	112990	0.861
7.632136907	36806400	115020	0.860
7.698491775	37126400	116020	0.861
7.831865059	37769600	118030	0.861
7.898883476	38092800	119040	0.860
8.033583858	38742400	121070	0.861
8.099938725	39062400	122070	0.860
8.23331201	39705600	124080	0.860
8.299666878	40025600	125080	0.860
8.43436726	40675200	127110	0.861
8.500722128	40995200	128110	0.861
8.634758961	41641600	130130	0.861
8.701777377	41964800	131140	0.861
8.836477759	42614400	133170	0.861
8.903496176	42937600	134180	0.861
9.03686946	43580800	136190	0.860
9.103887877	43904000	137200	0.860
9.237261161	44547200	139210	0.861
9.304279578	44870400	140220	0.861
9.437652862	45513600	142230	0.861
9.505334828	45840000	143250	0.861
9.638044564	46480000	145250	0.861
9.704399431	46800000	146250	0.861
9.771417848	47123200	147260	0.861
9.905454681	47769600	149280	0.861
9.973800195	48099200	150310	0.861
10.10717348	48742400	152320	0.861
