epoch	Video	STEP	gap
0.341064021	1644800	5140	0.783
0.407418889	1964800	6140	0.786
0.541455722	2611200	8160	0.797
0.60781059	2931200	9160	0.799
0.741183875	3574400	11170	0.806
0.807538742	3894400	12170	0.808
0.940248478	4534400	14170	0.826
1.076275957	5190400	16220	0.827
1.142630825	5510400	17220	0.825
1.275340561	6150400	19220	0.829
1.341695429	6470400	20220	0.831
1.474405165	7110400	22220	0.837
1.540760033	7430400	23220	0.832
1.674133317	8073600	25230	0.841
1.741151734	8396800	26240	0.842
1.875188567	9043200	28260	0.842
1.942870532	9369600	29280	0.844
2.076907365	10016000	31300	0.846
2.209617101	10656000	33300	0.846
2.275971969	10976000	34300	0.846
2.342326837	11296000	35300	0.846
2.503701876	12074240	37732	0.851
2.676755371	12908800	40340	0.852
2.877147072	13875200	43360	0.852
3.009856808	14515200	45360	0.853
3.277930475	15808000	49400	0.852
3.411303759	16451200	51410	0.855
3.545340592	17097600	53430	0.856
3.745732293	18064000	56450	0.856
3.946123994	19030400	59470	0.856
4.080160828	19676800	61490	0.856
4.280552529	20643200	64510	0.858
4.546635549	21926400	68520	0.859
4.747690799	22896000	71550	0.857
4.9480825	23862400	74570	0.858
5.281847485	25472000	79600	0.859
5.482902735	26441600	82630	0.860
5.618266666	27094400	84670	0.859
5.819985464	28067200	87710	0.861
5.953358749	28710400	89720	0.860
6.020377165	29033600	90730	0.860
6.086732033	29353600	91730	0.861
6.219441769	29993600	93730	0.860
6.285796637	30313600	94730	0.860
6.41983347	30960000	96750	0.860
6.494748116	31321280	97879	0.860
6.62088872	31929600	99780	0.860
6.687907136	32252800	100790	0.861
6.820616872	32892800	102790	0.861
6.887635289	33216000	103800	0.860
6.994134852	33729600	105405	0.861
7.08802699	34182400	106820	0.861
7.155045406	34505600	107830	0.861
7.287755142	35145600	109830	0.860
7.35411001	35465600	110830	0.860
