epoch	Video	STEP	gap
0.086	412800	1290	0.615
0.224	1081600	3380	0.764
0.427	2057600	6430	0.727
0.566	2729600	8530	0.779
0.700	3376000	10550	0.773
0.902	4352000	13600	0.801
1.036	4995200	15610	0.813
1.238	5971200	18660	0.806
1.373	6620800	20690	0.799
1.579	7616000	23800	0.814
1.732	8352000	26100	0.820
1.914	9228800	28840	0.821
2.050	9884800	30890	0.820
2.250	10851200	33910	0.820
2.384	11497600	35930	0.820
2.519	12147200	37960	0.820
2.721	13120000	41000	0.817
2.861	13795200	43110	0.819
3.064	14774400	46170	0.825
3.196	15414400	48170	0.824
3.398	16387200	51210	0.824
3.531	17030400	53220	0.822
3.734	18006400	56270	0.807
3.867	18649600	58280	0.815
4.002	19299200	60310	0.817
4.208	20294400	63420	0.824
4.342	20937600	65430	0.826
4.543	21907200	68460	0.828
4.677	22556800	70490	0.820
4.812	23206400	72520	0.826
4.949	23868800	74590	0.825
5.152	24844800	77640	0.828
5.286	25491200	79660	0.820
5.419	26134400	81670	0.826
5.622	27110400	84720	0.831
5.758	27766400	86770	0.829
5.895	28428800	88840	0.828
6.096	29398400	91870	0.829
6.229	30041600	93880	0.826
6.365	30694400	95920	0.829
6.497	31334400	97920	0.830
6.706	32342400	101070	0.830
6.841	32992000	103100	0.830
6.983	33673600	105230	0.829
7.183	34640000	108250	0.829
7.316	35280000	110250	0.830
7.451	35932800	112290	0.830
7.653	36908800	115340	0.831
7.790	37568000	117400	0.830
7.925	38217600	119430	0.829
8.059	38864000	121450	0.829
8.263	39846400	124520	0.830
8.399	40505600	126580	0.830
8.533	41152000	128600	0.829
8.738	42137600	131680	0.830
8.872	42787200	133710	0.829
9.012	43459200	135810	0.830
9.146	44108800	137840	0.831
9.354	45110400	140970	0.830
9.493	45779200	143060	0.830
9.627	46428800	145090	0.830
9.765	47091200	147160	0.830
9.965	48057600	150180	0.829
10.099	48700800	152190	0.829
