epoch	Video	STEP	gap
0.03	121600	380	0.145
0.16	777600	2430	0.721
0.30	1424000	4450	0.765
0.43	2064000	6450	0.777
0.56	2720000	8500	0.794
0.70	3391680	10599	0.799
0.83	4009600	12530	0.805
0.96	4649600	14530	0.810
1.10	5289600	16530	0.814
1.23	5948800	18590	0.817
1.38	6633600	20730	0.817
1.51	7289600	22780	0.820
1.65	7939200	24810	0.823
1.78	8579200	26810	0.827
1.91	9228800	28840	0.826
2.05	9868800	30840	0.829
2.18	10518400	32870	0.828
2.31	11158400	34870	0.829
2.45	11798400	36870	0.830
2.58	12438400	38870	0.834
2.71	13084800	40890	0.835
2.85	13724800	42890	0.835
2.98	14371200	44910	0.836
3.11	15014400	46920	0.836
3.25	15657600	48930	0.837
3.38	16304000	50950	0.839
3.52	16960000	53000	0.839
3.65	17600000	55000	0.839
3.78	18240000	57000	0.841
3.92	18892800	59040	0.841
4.05	19539200	61060	0.840
4.19	20220160	63188	0.843
4.32	20832000	65100	0.842
4.45	21472000	67100	0.842
4.59	22112000	69100	0.843
4.72	22752000	71100	0.843
4.88	23541440	73567	0.843
4.99	24064000	75200	0.844
5.13	24729600	77280	0.844
5.26	25379200	79310	0.845
5.40	26019200	81310	0.846
5.53	26662400	83320	0.846
5.66	27305600	85330	0.845
5.80	27952000	87350	0.846
5.93	28601600	89380	0.847
6.07	29270400	91470	0.846
6.20	29920000	93500	0.847
6.34	30569600	95530	0.846
6.47	31209600	97530	0.847
6.60	31849600	99530	0.847
6.67	32179200	100560	0.847
6.81	32828800	102590	0.848
6.95	33497600	104680	0.848
7.24	34892800	109040	0.848
7.37	35539200	111060	0.848
7.51	36214400	113170	0.849
7.65	36902400	115320	0.849
7.72	37232000	116350	0.848
7.85	37872000	118350	0.848
7.99	38544000	120450	0.849
8.13	39187200	122460	0.848
8.26	39830400	124470	0.849
8.40	40531520	126661	0.849
8.53	41120000	128500	0.849
8.67	41833600	130730	0.849
8.82	42518400	132870	0.849
8.88	42848000	133900	0.849
9.02	43491200	135910	0.850
9.15	44144000	137950	0.850
9.29	44796800	139990	0.850
9.42	45446400	142020	0.850
9.56	46089600	144030	0.850
9.69	46752000	146100	0.850
9.83	47398400	148120	0.850
9.96	48041600	150130	0.850
10.09	48681600	152130	0.850
10.23	49331200	154160	0.850
10.30	49654400	155170	0.851
10.43	50300800	157190	0.850
10.57	50953600	159230	0.850
10.70	51619200	161310	0.850
10.84	52262400	163320	0.850
10.97	52921600	165380	0.850
11.12	53603200	167510	0.850
11.18	53923200	168510	0.850
11.31	54563200	170510	0.850
11.45	55212800	172540	0.850
11.59	55878400	174620	0.850
11.72	56528000	176650	0.851
11.87	57221760	178818	0.850
11.99	57843200	180760	0.850
12.14	58534400	182920	0.851
12.21	58860800	183940	0.850
12.34	59513600	185980	0.851
12.48	60185600	188080	0.851
12.61	60832000	190100	0.851
12.75	61510400	192220	0.851
12.89	62153600	194230	0.850
13.02	62796800	196240	0.850
