epoch	Video	STEP	gap
0.21	1027200	3210	0.781
0.35	1667200	5210	0.799
0.48	2310400	7220	0.811
0.55	2630400	8220	0.812
0.68	3273600	10230	0.818
0.81	3916800	12240	0.824
0.88	4236800	13240	0.829
1.02	4909440	15342	0.834
1.08	5206400	16270	0.835
1.21	5846400	18270	0.836
1.35	6486400	20270	0.837
1.41	6806400	21270	0.839
1.54	7446400	23270	0.841
1.68	8089600	25280	0.845
1.74	8412800	26290	0.847
1.88	9056000	28300	0.847
1.94	9379200	29310	0.845
2.08	10022400	31320	0.849
2.21	10662400	33320	0.851
2.28	10985600	34330	0.850
2.48	11945600	37330	0.850
2.61	12588800	39340	0.852
2.81	13558400	42370	0.853
3.01	14518400	45370	0.854
3.28	15801600	49380	0.854
3.48	16764800	52390	0.856
3.61	17408000	54400	0.857
3.81	18371200	57410	0.856
4.01	19337600	60430	0.857
4.14	19977600	62430	0.857
4.34	20937600	65430	0.859
4.54	21897600	68430	0.859
4.67	22544000	70450	0.858
4.87	23507200	73460	0.859
5.07	24473600	76480	0.859
5.21	25116800	78490	0.860
5.41	26083200	81510	0.861
5.61	27049600	84530	0.860
5.74	27689600	86530	0.860
5.94	28652800	89540	0.861
6.07	29292800	91540	0.862
6.17	29778560	93058	0.862
6.27	30256000	94550	0.860
6.34	30576000	95550	0.861
6.47	31222400	97570	0.861
6.54	31545600	98580	0.861
6.69	32248640	100777	0.862
6.74	32524800	101640	0.862
6.88	33171200	103660	0.861
6.94	33491200	104660	0.862
7.08	34137600	106680	0.862
7.21	34784000	108700	0.862
7.28	35104000	109700	0.862
7.41	35747200	111710	0.862
7.48	36067200	112710	0.862
7.56	36457600	113930	0.862
7.69	37100800	115940	0.862
7.76	37424000	116950	0.862
7.89	38073600	118980	0.862
7.98	38476800	120240	0.862
8.03	38726400	121020	0.862
8.16	39366400	123020	0.862
8.23	39689600	124030	0.862
8.36	40329600	126030	0.863
8.43	40652800	127040	0.863
8.50	40979200	128060	0.863
8.63	41619200	130060	0.863
8.70	41939200	131060	0.863
8.83	42579200	133060	0.863
8.90	42899200	134060	0.863
9.03	43539200	136060	0.863
9.09	43859200	137060	0.863
9.23	44502400	139070	0.864
9.29	44822400	140070	0.863
9.36	45142400	141070	0.863
9.50	45819840	143187	0.863
9.57	46128000	144150	0.863
9.70	46777600	146180	0.864
9.77	47100800	147190	0.863
9.83	47424000	148200	0.863
9.97	48067200	150210	0.863
10.03	48387200	151210	0.863
10.17	49030400	153220	0.864
10.23	49356800	154240	0.863
10.37	49996800	156240	0.864
10.43	50316800	157240	0.863
10.51	50664320	158326	0.864
10.63	51276800	160240	0.864
10.70	51596800	161240	0.863
10.83	52236800	163240	0.863
10.90	52560000	164250	0.864
11.01	53099200	165935	0.864
11.10	53523200	167260	0.864
11.17	53846400	168270	0.863
11.30	54492800	170290	0.864
11.37	54822400	171320	0.863
11.43	55142400	172320	0.863
11.57	55792000	174350	0.864
11.64	56112000	175350	0.864
