epoch	Video	STEP	gap
0.078	377600	1180	0.661
0.213	1027200	3210	0.773
0.348	1680000	5250	0.790
0.481	2320000	7250	0.801
0.618	2982400	9320	0.807
0.756	3648000	11400	0.812
0.890	4291200	13410	0.819
1.023	4931200	15410	0.821
1.157	5580800	17440	0.822
1.358	6550400	20470	0.827
1.498	7226240	22582	0.828
1.627	7846400	24520	0.829
1.765	8512000	26600	0.832
1.900	9164800	28640	0.833
2.035	9814400	30670	0.834
2.173	10480000	32750	0.835
2.306	11123200	34760	0.835
2.441	11769600	36780	0.836
2.642	12742400	39820	0.838
2.776	13385600	41830	0.839
2.912	14044800	43890	0.839
3.046	14691200	45910	0.839
3.181	15340800	47940	0.839
3.317	15996800	49990	0.839
3.450	16636800	51990	0.841
3.584	17286400	54020	0.841
3.741	18040640	56377	0.841
3.924	18921600	59130	0.841
4.058	19568000	61150	0.842
4.192	20217600	63180	0.842
4.330	20883200	65260	0.842
4.486	21633280	67604	0.843
4.599	22179200	69310	0.843
4.802	23158400	72370	0.843
4.940	23824000	74450	0.843
5.075	24473600	76480	0.844
5.229	25219200	78810	0.843
5.344	25772800	80540	0.844
5.545	26742400	83570	0.844
5.680	27392000	85600	0.845
5.817	28051200	87660	0.844
5.972	28799040	89997	0.845
6.087	29356800	91740	0.844
6.287	30320000	94750	0.844
6.423	30976000	96800	0.844
6.561	31641600	98880	0.844
6.715	32381440	101192	0.845
6.833	32950400	102970	0.844
7.032	33913600	105980	0.845
7.166	34560000	108000	0.845
7.302	35216000	110050	0.845
			
			
