epoch	Video	STEP	gap
0.170	820480	2564	0.710
0.343	1656000	5175	0.721
0.488	2355200	7360	0.722
0.621	2995200	9360	0.749
0.756	3644800	11390	0.749
0.890	4294400	13420	0.771
1.026	4947200	15460	0.780
1.159	5587200	17460	0.775
1.291	6227200	19460	0.783
1.425	6873600	21480	0.780
1.563	7539200	23560	0.781
1.713	8263040	25822	0.797
1.830	8825600	27580	0.794
1.965	9475200	29610	0.804
2.164	10438400	32620	0.797
2.298	11081600	34630	0.803
2.399	11570880	36159	0.805
2.566	12374400	38670	0.814
2.703	13033600	40730	0.810
2.837	13680000	42750	0.813
2.969	14320000	44750	0.817
3.172	15299200	47810	0.814
3.312	15971200	49910	0.817
3.427	16528640	51652	0.821
3.581	17270400	53970	0.822
3.648	17590400	54970	0.821
3.790	18275200	57110	0.821
3.924	18924800	59140	0.824
4.058	19571200	61160	0.821
4.192	20214400	63170	0.828
4.328	20873600	65230	0.829
4.455	21486080	67144	0.829
4.602	22192000	69350	0.828
4.734	22832000	71350	0.829
4.872	23494400	73420	0.827
5.004	24134400	75420	0.832
5.142	24796800	77490	0.831
5.275	25436800	79490	0.831
5.474	26396800	82490	0.832
5.609	27049600	84530	0.832
5.742	27692800	86540	0.832
5.875	28332800	88540	0.833
6.008	28976000	90550	0.834
6.143	29625600	92580	0.834
6.277	30268800	94590	0.835
6.411	30915200	96610	0.834
6.543	31555200	98610	0.834
6.744	32524800	101640	0.836
6.880	33177600	103680	0.836
6.970	33612800	105040	0.835
7.105	34265600	107080	0.836
7.241	34919680	109124	0.836
7.377	35574080	111169	0.837
7.513	36231040	113222	0.837
7.649	36887360	115273	0.837
7.748	37363200	116760	0.837
7.882	38012800	118790	0.838
7.920	38195840	119362	0.837
7.949	38332800	119790	0.838
8.015	38652800	120790	0.837
8.056	38852160	121413	0.838
8.081	38972800	121790	0.837
