epoch	Video	STEP	gap
0.0644	310400	970	0.739
0.3484	1680000	5250	0.811
0.6377	3075200	9610	0.827
0.8487	4092800	12790	0.836
1.1274	5436800	16990	0.841
1.4041	6771200	21160	0.843
1.6861	8131200	25410	0.848
1.9090	9206400	28770	0.850
2.1957	10588800	33090	0.852
2.4711	11916800	37240	0.853
2.7491	13257600	41430	0.854
3.0278	14601600	45630	0.856
3.2375	15612800	48790	0.856
3.5201	16976000	53050	0.856
3.7922	18288000	57150	0.857
4.2080	20293120	63416	0.859
4.2839	20659200	64560	0.858
4.4166	21299200	66560	0.858
4.4843	21625600	67580	0.858
4.6170	22265600	69580	0.859
4.7497	22905600	71580	0.859
4.8160	23225600	72580	0.858
4.9501	23872000	74600	0.859
5.0861	24528000	76650	0.858
5.1531	24851200	77660	0.859
5.2885	25504000	79700	0.858
5.3577	25837760	80743	0.859
5.4902	26476800	82740	0.859
5.6242	27123200	84760	0.859
5.6906	27443200	85760	0.859
5.8260	28096000	87800	0.859
5.9620	28752000	89850	0.859
6.0283	29072000	90850	0.860
6.1664	29737600	92930	0.860
6.2997	30380800	94940	0.860
6.3661	30700800	95940	0.860
6.5034	31363200	98010	0.861
6.6355	32000000	100000	0.860
6.7025	32323200	101010	0.860
6.8419	32995200	103110	0.860
6.9082	33315200	104110	0.860
7.0756	34122560	106633	0.860
7.1756	34604800	108140	0.860
7.2426	34928000	109150	0.860
7.3800	35590400	111220	0.860
7.5127	36230400	113220	0.860
7.5804	36556800	114240	0.859
7.7177	37219200	116310	0.859
7.8544	37878400	118370	0.860
7.9208	38198400	119370	0.859
8.0548	38844800	121390	0.860
8.1875	39484800	123390	0.860
8.2559	39814400	124420	0.860
8.3892	40457600	126430	0.860
8.5220	41097600	128430	0.860
8.5903	41427200	129460	0.859
8.7257	42080000	131500	0.860
8.7948	42413440	132542	0.860
8.9280	43056000	134550	0.859
9.0614	43699200	136560	0.860
9.1278	44019200	137560	0.860
9.2631	44672000	139600	0.860
9.3958	45312000	141600	0.860
9.4622	45632000	142600	0.859
9.5949	46272000	144600	0.859
9.7276	46912000	146600	0.860
9.7953	47238400	147620	0.859
9.9309	47892480	149664	0.860
10.0634	48531200	151660	0.860
			
			
			
			
			
			
