epoch	Video	STEP	gap
0.064364222	310400	970	0.739
0.348363057	1680000	5250	0.811
0.637670281	3075200	9610	0.827
0.848678761	4092800	12790	0.836
1.127369206	5436800	16990	0.841
1.404069005	6771200	21160	0.843
1.686077194	8131200	25410	0.848
1.90902955	9206400	28770	0.850
2.195682579	10588800	33090	0.852
2.471055281	11916800	37240	0.853
2.749082177	13257600	41430	0.854
3.027772623	14601600	45630	0.856
3.237454005	15612800	48790	0.856
3.520125742	16976000	53050	0.856
3.792180701	18288000	57150	0.857
4.207960303	20293120	63416	0.859
4.283870272	20659200	64560	0.858
4.416580008	21299200	66560	0.858
4.484261973	21625600	67580	0.858
4.616971709	22265600	69580	0.859
4.749681445	22905600	71580	0.859
4.816036313	23225600	72580	0.858
4.950073146	23872000	74600	0.859
5.086100625	24528000	76650	0.858
5.153119042	24851200	77660	0.859
5.288482972	25504000	79700	0.858
5.357691099	25837760	80743	0.859
5.490201771	26476800	82740	0.859
5.624238604	27123200	84760	0.859
5.690593472	27443200	85760	0.859
5.825957402	28096000	87800	0.859
5.961984881	28752000	89850	0.859
6.028339749	29072000	90850	0.860
6.166357875	29737600	92930	0.860
6.299731159	30380800	94940	0.860
6.366086027	30700800	95940	0.860
6.503440604	31363200	98010	0.861
6.635486791	32000000	100000	0.860
6.702505207	32323200	101010	0.860
6.84185043	32995200	103110	0.860
6.908205298	33315200	104110	0.860
7.07561863	34122560	106633	0.860
7.175615415	34604800	108140	0.860
7.242633832	34928000	109150	0.860
7.379988409	35590400	111220	0.860
7.512698144	36230400	113220	0.860
7.58038011	36556800	114240	0.859
7.717734686	37219200	116310	0.859
7.854425714	37878400	118370	0.860
7.920780582	38198400	119370	0.859
8.054817415	38844800	121390	0.860
8.187527151	39484800	123390	0.860
8.255872665	39814400	124420	0.860
8.38924595	40457600	126430	0.860
8.521955685	41097600	128430	0.860
8.590301199	41427200	129460	0.859
8.72566513	42080000	131500	0.860
8.794806902	42413440	132542	0.860
8.928047477	43056000	134550	0.859
9.061420761	43699200	136560	0.860
9.127775629	44019200	137560	0.860
9.26313956	44672000	139600	0.860
9.395849296	45312000	141600	0.860
9.462204164	45632000	142600	0.859
9.594913899	46272000	144600	0.859
9.727623635	46912000	146600	0.860
9.7953056	47238400	147620	0.859
9.93093495	47892480	149664	0.860
10.06337927	48531200	151660	0.860
			
			
			
