epoch	Video	STEP	gap
0.010	48000	150	0.412
0.152	732800	2290	0.721
0.352	1696000	5300	0.768
0.486	2342400	7320	0.773
0.620	2988800	9340	0.776
0.755	3641600	11380	0.791
0.892	4304000	13450	0.800
1.032	4976000	15550	0.804
1.176	5670400	17720	0.806
1.311	6320000	19750	0.811
1.447	6976000	21800	0.814
1.583	7632000	23850	0.816
1.717	8281600	25880	0.824
1.854	8940800	27940	0.824
1.989	9590400	29970	0.822
2.138	10310400	32220	0.827
2.281	10998400	34370	0.825
2.416	11651200	36410	0.830
2.558	12336000	38550	0.834
2.697	13004800	40640	0.834
2.839	13692800	42790	0.835
2.977	14355200	44860	0.836
3.119	15043200	47010	0.835
3.267	15756800	49240	0.835
3.413	16460800	51440	0.839
3.552	17129600	53530	0.839
3.695	17820800	55690	0.839
3.833	18486400	57770	0.839
3.916	18883200	59010	0.840
4.052	19539200	61060	0.839
4.190	20207680	63149	0.841
4.324	20851200	65160	0.841
4.466	21539200	67310	0.841
4.613	22246400	69520	0.841
4.747	22892800	71540	0.841
4.888	23572800	73665	0.842
5.017	24195200	75610	0.843
5.152	24848000	77650	0.844
5.306	25590400	79970	0.843
5.444	26252800	82040	0.843
5.591	26963200	84260	0.844
5.726	27616000	86300	0.844
5.868	28300800	88440	0.845
6.008	28972800	90540	0.845
6.148	29648000	92650	0.846
6.286	30314560	94733	0.844
6.422	30969600	96780	0.845
6.560	31635200	98860	0.843
6.703	32326400	101020	0.845
6.842	32995200	103110	0.844
6.983	33673600	105230	0.845
7.119	34329600	107280	0.844
7.256	34992000	109350	0.845
7.399	35680000	111500	0.845
7.538	36352000	113600	0.846
7.679	37033600	115730	0.846
7.750	37376000	116800	0.846
7.885	38025600	118830	0.845
8.025	38700800	120940	0.846
8.226	39670400	123970	0.845
8.296	40006400	125020	0.845
			
