epoch	Video	STEP	gap
0.208354285	1004800	3140	0.784
0.41206373	1987200	6210	0.803
0.552072501	2662400	8320	0.813
0.753127751	3632000	11350	0.820
0.957500744	4617600	14430	0.827
1.157228896	5580800	17440	0.832
1.358947695	6553600	20480	0.835
1.496302271	7216000	22550	0.836
1.702002362	8208000	25650	0.840
1.90372116	9180800	28690	0.841
2.037094445	9824000	30700	0.842
2.473709476	11929600	37280	0.844
2.751736372	13270400	41470	0.847
2.959427109	14272000	44600	0.848
3.403341175	16412800	51290	0.850
3.881096224	18716800	58490	0.850
4.366150308	21056000	65800	0.852
4.790821463	23104000	72200	0.853
5.268576512	25408000	79400	0.853
5.699219605	27484800	85890	0.854
6.18361014	29820800	93190	0.854
6.595010321	31804800	99390	0.855
