epoch	Video	STEP	gap
0.134700382	649600	2030	0.699
0.338409826	1632000	5100	0.737
0.540792173	2608000	8150	0.751
0.678810299	3273600	10230	0.781
0.878538451	4236800	13240	0.797
1.078930152	5203200	16260	0.792
1.281976048	6182400	19320	0.803
1.485685492	7164800	22390	0.810
1.655288535	7982720	24946	0.805
1.822768221	8790400	27470	0.825
2.032449604	9801600	30630	0.817
2.234168402	10774400	33670	0.826
2.438541396	11760000	36750	0.823
2.572578229	12406400	38770	0.833
2.776287673	13388800	41840	0.836
2.983513926	14388160	44963	0.839
3.183706562	15353600	47980	0.838
3.319070493	16006400	50020	0.844
3.519462194	16972800	53040	0.842
4.193627652	20224000	63200	0.847
4.394682901	21193600	66230	0.843
4.600382992	22185600	69330	0.846
4.735746923	22838400	71370	0.845
4.937465721	23811200	74410	0.846
5.138520971	24780800	77440	0.849
5.303678237	25577280	79929	0.848
5.477594346	26416000	82550	0.847
5.676658949	27376000	85550	0.848
5.877050651	28342400	88570	0.851
6.010423935	28985600	90580	0.851
6.215460477	29974400	93670	0.852
6.417842824	30950400	96720	0.850
6.624272818	31945920	99831	0.850
6.750944261	32556800	101740	0.850
