epoch	Video	STEP	gap
0.175	841920	2631	0.656
0.348	1680000	5250	0.698
0.483	2329600	7280	0.713
0.616	2972800	9290	0.721
0.750	3619200	11310	0.731
0.883	4259200	13310	0.742
1.019	4915200	15360	0.748
1.155	5568000	17400	0.754
1.287	6208000	19400	0.755
1.420	6848000	21400	0.759
1.559	7520000	23500	0.762
1.693	8163200	25510	0.768
1.826	8806400	27520	0.768
1.959	9449600	29530	0.772
2.164	10435200	32610	0.775
2.274	10968320	34276	0.774
2.429	11715200	36610	0.778
2.563	12358400	38620	0.782
2.697	13004800	40640	0.783
2.798	13495680	42174	0.787
2.974	14342080	44819	0.786
3.113	15011200	46910	0.787
3.247	15657600	48930	0.790
3.392	16358400	51120	0.790
3.526	17004800	53140	0.792
3.665	17676800	55240	0.793
3.799	18320000	57250	0.793
3.932	18960000	59250	0.794
4.066	19609600	61280	0.795
4.196	20237760	63243	0.797
4.336	20908800	65340	0.797
4.472	21568000	67400	0.797
4.610	22233600	69480	0.798
4.720	22760320	71126	0.797
4.882	23542400	73570	0.798
5.018	24198400	75620	0.800
5.152	24848000	77650	0.801
5.219	25168000	78650	0.800
5.490	26476800	82740	0.800
5.624	27123200	84760	0.801
5.758	27769600	86780	0.799
5.892	28412800	88790	0.803
6.028	29068800	90840	0.803
6.161	29712000	92850	0.803
6.274	30256960	94553	0.803
6.368	30710400	95970	0.803
6.450	31103680	97199	0.803
6.509	31392000	98100	0.803
6.576	31712000	99100	0.803
6.626	31954560	99858	0.803
6.642	32032000	100100	0.803
6.708	32352000	101100	0.804
6.775	32672000	102100	0.804
6.802	32800640	102502	0.804
6.843	32998400	103120	0.804
6.910	33324800	104140	0.804
6.979	33654400	105170	0.805
6.987	33692800	105290	0.805
7.053	34012800	106290	0.805
7.120	34336000	107300	0.804
7.154	34501760	107818	0.804
7.186	34656000	108300	0.804
7.253	34979200	109310	0.804
7.320	35302400	110320	0.804
7.330	35347200	110460	0.805
7.387	35622400	111320	0.804
7.459	35971200	112410	0.805
