epoch	Video	STEP	gap
0.16	774400	2420	0.727
0.29	1414400	4420	0.764
0.43	2060800	6440	0.782
0.56	2704000	8450	0.792
0.70	3360000	10500	0.798
0.83	4019200	12560	0.804
0.90	4348800	13590	0.805
1.04	4995200	15610	0.811
1.17	5648000	17650	0.811
1.30	6291200	19660	0.815
1.44	6934400	21670	0.817
1.58	7603200	23760	0.820
1.64	7926400	24770	0.818
1.78	8579200	26810	0.824
1.92	9251200	28910	0.826
2.05	9907200	30960	0.824
2.12	10233600	31980	0.826
2.26	10880000	34000	0.828
2.39	11526400	36020	0.828
2.53	12193600	38105	0.831
2.66	12816000	40050	0.832
2.79	13459200	42060	0.832
2.93	14108800	44090	0.834
2.99	14438400	45120	0.834
3.15	15197120	47491	0.834
3.26	15737600	49180	0.834
3.40	16387200	51210	0.837
3.47	16716800	52240	0.837
3.60	17366400	54270	0.837
3.74	18016000	56300	0.838
3.87	18656000	58300	0.837
4.00	19308800	60340	0.838
4.07	19638400	61370	0.839
4.20	20278400	63370	0.840
4.34	20924800	65390	0.840
4.47	21564800	67390	0.840
4.61	22211200	69410	0.840
4.67	22534400	70420	0.840
4.81	23180800	72440	0.841
4.94	23824000	74450	0.841
5.07	24473600	76480	0.843
5.21	25126400	78520	0.842
5.28	25449600	79530	0.842
5.41	26092800	81540	0.843
5.55	26745600	83580	0.843
5.68	27385600	85580	0.843
5.75	27712000	86600	0.843
5.88	28355200	88610	0.844
6.01	28998400	90620	0.844
6.15	29654400	92670	0.844
6.24	30115200	94110	0.844
6.38	30755200	96110	0.844
6.51	31395200	98110	0.844
6.64	32038400	100120	0.844
6.71	32361600	101130	0.845
6.85	33043200	103260	0.845
6.98	33676800	105240	0.845
7.05	33996800	106240	0.845
7.18	34646400	108270	0.845
7.32	35292800	110290	0.845
7.45	35942400	112320	0.845
7.52	36272000	113350	0.846
7.66	36921600	115380	0.846
7.79	37580800	117440	0.846
7.93	38233600	119480	0.846
8.00	38569600	120530	0.846
8.14	39251200	122660	0.846
8.28	39910400	124720	0.847
8.41	40550400	126720	0.847
8.48	40880000	127750	0.847
8.61	41529600	129780	0.847
8.75	42182400	131820	0.847
8.82	42515200	132860	0.847
8.95	43168000	134900	0.847
9.09	43817600	136930	0.847
9.22	44457600	138930	0.848
9.29	44790400	139970	0.847
9.42	45449600	142030	0.847
9.56	46102400	144070	0.847
9.70	46758400	146120	0.847
9.76	47078400	147120	0.848
9.90	47737600	149180	0.847
10.04	48420480	151314	0.847
10.11	48732800	152290	0.847
10.24	49376000	154300	0.848
