epoch	Video	STEP	gap
0.08	390400	1220	0.729
0.15	710400	2220	0.764
0.28	1353600	4230	0.788
0.36	1714880	5359	0.797
0.41	1993600	6230	0.799
0.48	2313600	7230	0.805
0.61	2963200	9260	0.811
0.68	3286400	10270	0.814
0.75	3606400	11270	0.815
0.81	3926400	12270	0.815
0.95	4572800	14290	0.823
1.01	4892800	15290	0.824
1.09	5254720	16421	0.827
1.15	5539200	17310	0.830
1.28	6185600	19330	0.831
1.35	6505600	20330	0.832
1.42	6825600	21330	0.832
1.48	7145600	22330	0.835
1.55	7472000	23350	0.837
1.75	8435200	26360	0.841
1.88	9084800	28390	0.842
2.08	10044800	31390	0.843
2.22	10688000	33400	0.844
2.42	11651200	36410	0.846
2.56	12322240	38507	0.848
2.75	13264000	41450	0.849
2.92	14096640	44052	0.849
3.08	14873600	46480	0.850
3.28	15836800	49490	0.850
3.42	16483200	51510	0.851
3.62	17452800	54540	0.852
3.75	18102400	56570	0.853
3.95	19065600	59580	0.852
4.09	19705600	61580	0.854
4.22	20348800	63590	0.855
4.29	20672000	64600	0.855
4.39	21157760	66118	0.855
4.49	21635200	67610	0.855
4.55	21955200	68610	0.855
4.62	22275200	69610	0.855
4.69	22595200	70610	0.855
4.75	22929920	71656	0.854
4.82	23235200	72610	0.855
4.88	23555200	73610	0.854
4.95	23875200	74610	0.855
5.02	24195200	75610	0.856
5.12	24678400	77120	0.856
5.22	25155200	78610	0.856
5.28	25475200	79610	0.855
5.35	25795200	80610	0.856
5.42	26115200	81610	0.856
5.49	26451840	82662	0.856
5.63	27155200	84860	0.856
5.70	27481600	85880	0.856
5.83	28124800	87890	0.856
5.90	28448000	88900	0.857
5.97	28768000	89900	0.856
6.03	29091200	90910	0.857
6.10	29414400	91920	0.856
6.17	29737600	92930	0.857
6.23	30057600	93930	0.857
6.31	30407360	95023	0.857
6.43	31024000	96950	0.856
6.50	31344000	97950	0.857
6.57	31664000	98950	0.857
6.63	31984000	99950	0.857
6.70	32304000	100950	0.857
6.76	32624000	101950	0.858
6.90	33264000	103950	0.857
6.96	33587200	104960	0.858
7.03	33907200	105960	0.858
7.10	34227200	106960	0.858
7.16	34547200	107960	0.858
7.23	34867200	108960	0.858
7.30	35187200	109960	0.858
7.36	35507200	110960	0.858
7.37	35539200	111060	0.858
7.44	35862400	112070	0.857
7.51	36195200	113110	0.858
7.57	36515200	114110	0.859
7.64	36835200	115110	0.858
7.65	36910400	115345	0.858
7.70	37155200	116110	0.859
7.77	37475200	117110	0.858
7.84	37795200	118110	0.858
7.90	38115200	119110	0.858
7.97	38438400	120120	0.858
8.04	38758400	121120	0.858
8.10	39078400	122120	0.858
8.17	39398400	123120	0.858
8.24	39740800	124190	0.859
8.31	40060800	125190	0.858
8.37	40380800	126190	0.858
8.44	40704000	127200	0.858
8.51	41043200	128260	0.858
8.57	41318400	129120	0.858
8.58	41388800	129340	0.859
8.65	41708800	130340	0.859
8.72	42035200	131360	0.859
8.78	42355200	132360	0.858
8.87	42766400	133645	0.859
8.92	43008000	134400	0.859
8.98	43328000	135400	0.858
9.05	43648000	136400	0.859
9.12	43977600	137430	0.859
9.17	44246080	138269	0.859
9.19	44297600	138430	0.859
9.25	44624000	139450	0.859
9.32	44944000	140450	0.859
9.39	45270400	141470	0.859
9.47	45681600	142755	0.859
9.52	45920000	143500	0.859
9.59	46240000	144500	0.859
9.66	46563200	145510	0.859
9.72	46889600	146530	0.859
9.78	47147200	147335	0.859
9.79	47209600	147530	0.859
9.86	47552000	148600	0.859
9.93	47872000	149600	0.859
9.99	48192000	150600	0.859
10.07	48585280	151829	0.859
10.13	48844800	152640	0.859
10.20	49177600	153680	0.859
10.26	49497600	154680	0.859
10.33	49817600	155680	0.859
10.38	50050560	156408	0.860
10.40	50137600	156680	0.859
