steps;acdc_2_layers;acdc_4_layers;circ_2_layers
0;60.6298;60.1843;59.9637
10;58.7461;58.4431;13.4555
20;62.2948;62.065;1.8604
30;62.4913;62.394;1.4833
40;61.8326;61.7831;1.4944
50;60.9611;61.0457;1.433
60;56.7508;56.9418;1.4146
70;61.9925;62.4274;1.3446
80;59.8058;60.3452;1.3759
90;57.3025;57.7554;1.4495
100;56.5762;57.0101;1.3799
110;53.5702;53.5383;1.3465
120;55.0283;51.9194;1.3865
130;52.5259;41.7816;1.339
140;48.1697;32.885;1.3847
150;43.2549;24.2845;1.3454
160;37.1855;15.1043;1.3371
170;38.1147;11.7554;1.2937
180;34.9031;8.8494;1.3277
190;32.0587;6.6216;1.4009
200;29.8666;5.5508;1.3274
210;26.9893;4.4376;1.3103
220;26.8265;3.806;1.356
230;24.8247;3.2049;1.3051
240;22.6808;2.6576;1.3594
250;20.7066;2.736;1.3265
260;17.5161;2.3748;1.3187
270;17.196;2.3366;1.2848
280;15.2936;2.2742;1.3188
290;13.8015;2.2089;1.3897
300;12.6556;2.2862;1.313
310;11.4905;2.2254;1.3013
320;11.3279;2.3626;1.3485
330;10.402;2.24;1.2951
340;9.8304;2.1529;1.3527
350;9.0371;2.3552;1.3222
360;7.8281;2.0784;1.3138
370;7.456;2.1141;1.2839
380;6.7037;2.0738;1.3176
390;6.1193;2.0518;1.3871
400;5.6757;2.099;1.3084
410;5.0323;2.0658;1.2989
420;4.8439;2.1975;1.3465
430;4.4329;2.0892;1.2917
440;4.4377;2.0192;1.3507
450;4.1263;2.2022;1.3213
460;3.932;1.9491;1.3124
470;3.5289;1.9841;1.2842
480;3.3955;1.957;1.3177
490;3.3579;1.9912;1.3865
500;3.4926;1.9918;1.3068
510;3.3132;1.9581;1.2982
520;3.3678;2.0757;1.3458
530;3.2029;2.0019;1.2903
540;3.452;1.938;1.3501
550;3.3083;2.0691;1.3211
560;3.3248;1.8729;1.3119
570;2.9554;1.8996;1.2846
580;2.9849;1.8874;1.3179
590;2.9689;1.8958;1.3863
600;3.1782;1.9211;1.3062
610;3.0293;1.8902;1.2979
620;3.126;1.9928;1.3455
630;3.0069;1.8974;1.2897
640;3.2471;1.8692;1.3498
650;3.1145;1.9984;1.321
660;3.1428;1.8138;1.3117
670;2.7856;1.8454;1.2848
680;2.8424;1.8232;1.3181
690;2.818;1.8642;1.3862
700;3.033;1.8584;1.3058
710;2.9207;1.8232;1.2978
720;2.9938;1.9323;1.3453
730;2.8865;1.8707;1.2894
740;3.1325;1.8294;1.3497
750;2.9939;1.9345;1.321
760;3.0234;1.7603;1.3115
770;2.6663;1.7865;1.2848
780;2.7541;1.7826;1.3181
790;2.7051;1.8296;1.3861
800;2.9291;1.8162;1.3057
810;2.8004;1.7834;1.2977
820;2.9038;1.8834;1.3451
830;2.8061;1.8046;1.2892
840;3.0522;1.7798;1.3496
850;2.898;1.8661;1.321
860;2.9316;1.7243;1.3115
870;2.593;1.7415;1.2848
880;2.6815;1.7654;1.3181
890;2.6321;1.7864;1.386
900;2.8517;1.7715;1.3055
910;2.7351;1.7384;1.2976
920;2.8319;1.8489;1.345
930;2.7285;1.7752;1.2891
940;2.9831;1.7526;1.3495
950;2.8328;1.8315;1.3209
960;2.8585;1.6949;1.3114
970;2.5322;1.7223;1.2848
980;2.6161;1.7184;1.3181
990;2.5752;1.7692;1.3859
1000;2.7864;1.7357;1.3054
1010;2.6611;1.7086;1.2975
1020;2.7761;1.8073;1.3449
1030;2.6811;1.7404;1.289
1040;2.9259;1.7211;1.3494
1050;2.779;1.8029;1.3209
1060;2.8082;1.6802;1.3113
1070;2.4895;1.688;1.2847
1080;2.5893;1.6894;1.3181
1090;2.5258;1.7306;1.3858
1100;2.7334;1.7219;1.3054
1110;2.6236;1.6859;1.2975
1120;2.7289;1.7731;1.3448
1130;2.6352;1.7033;1.2889
1140;2.8791;1.6917;1.3493
1150;2.7299;1.7591;1.3209
1160;2.7576;1.6524;1.3112
1170;2.4447;1.6598;1.2846
1180;2.5384;1.6671;1.318
1190;2.4805;1.7251;1.3857
1200;2.6875;1.6927;1.3053
1210;2.5781;1.6584;1.2974
1220;2.6884;1.7421;1.3447
1230;2.5897;1.6878;1.2888
1240;2.8395;1.6697;1.3492
1250;2.688;1.724;1.3208
1260;2.7131;1.6351;1.3112
1270;2.3888;1.6364;1.2845
1280;2.5124;1.6509;1.318
1290;2.4416;1.6917;1.3856
1300;2.6471;1.6653;1.3052
1310;2.5374;1.6373;1.2974
1320;2.6534;1.7263;1.3446
1330;2.5584;1.6584;1.2887
1340;2.8085;1.6521;1.3492
1350;2.6501;1.7031;1.3208
1360;2.6745;1.6205;1.3111
1370;2.3563;1.6239;1.2845
1380;2.4756;1.6316;1.318
1390;2.4153;1.6805;1.3855
1400;2.6126;1.6422;1.3052
1410;2.5134;1.617;1.2973
1420;2.6277;1.6983;1.3445
1430;2.5308;1.6412;1.2887
1440;2.7803;1.629;1.3491
1450;2.6236;1.6887;1.3208
1460;2.644;1.5911;1.311
1470;2.3442;1.5978;1.2844
1480;2.4489;1.6139;1.3179
1490;2.3896;1.6582;1.3854
1500;2.5752;1.6237;1.3051
1510;2.4717;1.5978;1.2972
1520;2.5991;1.6722;1.3444
1530;2.5032;1.6023;1.2886
1540;2.7509;1.6126;1.349
1550;2.5983;1.6556;1.3207
1560;2.611;1.5814;1.311
1570;2.3099;1.5903;1.2843
1580;2.4233;1.6025;1.3179
1590;2.3691;1.6447;1.3854
1600;2.5505;1.6001;1.3051
1610;2.4483;1.5864;1.2972
1620;2.571;1.6531;1.3443
1630;2.4749;1.6092;1.2885
1640;2.7235;1.5967;1.3489
1650;2.5777;1.6354;1.3207
1660;2.5735;1.5629;1.3109
1670;2.2937;1.5731;1.2842
1680;2.4053;1.58;1.3178
1690;2.3504;1.6394;1.3853
1700;2.514;1.5755;1.305
1710;2.4295;1.5661;1.2971
1720;2.5522;1.6374;1.3442
1730;2.4499;1.5922;1.2884
1740;2.7093;1.5934;1.3489
1750;2.5546;1.6282;1.3206
1760;2.554;1.5419;1.3108
1770;2.2762;1.5687;1.2841
1780;2.3812;1.5711;1.3178
1790;2.3278;1.6208;1.3852
1800;2.5039;1.5597;1.3049
1810;2.409;1.5463;1.297
1820;2.5313;1.6183;1.3441
1830;2.429;1.5437;1.2883
1840;2.6874;1.5741;1.3488
1850;2.5279;1.596;1.3206
1860;2.53;1.5439;1.3108
1870;2.2396;1.5495;1.2841
1880;2.3669;1.5561;1.3178
1890;2.3084;1.603;1.3851
1900;2.4762;1.5477;1.3049
1910;2.3936;1.5372;1.297
